"","gene","EC_number","COG","product","MAG"
"696","nadD","2.7.7.18","COG1057","Nicotinate-nucleotide adenylyltransferase","Limnohabitans sp. 1"
"697","rsfS","","COG0799","Ribosomal silencing factor RsfS","Limnohabitans sp. 1"
"698","rlmH","2.1.1.177","COG1576","Ribosomal RNA large subunit methyltransferase H","Limnohabitans sp. 1"
"699","yhdE","","COG0424","Maf-like protein YhdE","Limnohabitans sp. 1"
"700","rng","3.1.26.-","COG1530","Ribonuclease G","Limnohabitans sp. 1"
"701","msbA","3.6.3.-","COG1132","Lipid A export ATP-binding/permease protein MsbA","Limnohabitans sp. 1"
"702","dnaG","2.7.7.-","COG0358","DNA primase","Limnohabitans sp. 1"
"703","cysE","2.3.1.30","COG1045","Serine acetyltransferase","Limnohabitans sp. 1"
"704","trmJ","2.1.1.200","COG0565","tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ","Limnohabitans sp. 1"
"705","doc","","COG3654","Toxin Doc","Limnohabitans sp. 1"
"706","bchB","1.3.7.7","COG2710","Light-independent protochlorophyllide reductase subunit B","Limnohabitans sp. 1"
"707","bchN","1.3.7.7","COG2710","Light-independent protochlorophyllide reductase subunit N","Limnohabitans sp. 1"
"708","pucC","","","Protein PucC","Limnohabitans sp. 1"
"709","menJ","1.3.99.38","COG0644","Menaquinone reductase","Limnohabitans sp. 1"
"710","crtK-2","","COG3476","Tryptophan-rich protein TspO","Limnohabitans sp. 1"
"711","mhpC","3.7.1.14","COG0596","2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase","Limnohabitans sp. 1"
"712","nhaP2","","COG3263","K(+)/H(+) antiporter NhaP2","Limnohabitans sp. 1"
"713","bchD","6.6.1.1","COG1240","Magnesium-chelatase 60 kDa subunit","Limnohabitans sp. 1"
"714","bchI","6.6.1.1","COG1239","Magnesium-chelatase 38 kDa subunit","Limnohabitans sp. 1"
"715","exbD","","COG0848","Biopolymer transport protein ExbD","Limnohabitans sp. 1"
"716","tolQ","","COG0811","Protein TolQ","Limnohabitans sp. 1"
"717","ybgC","3.1.2.-","COG0824","Acyl-CoA thioesterase YbgC","Limnohabitans sp. 1"
"718","nusB","","COG0781","Transcription antitermination protein NusB","Limnohabitans sp. 1"
"719","ytfF","","","Inner membrane protein YtfF","Limnohabitans sp. 1"
"720","ycaO","","COG1944","Ribosomal protein S12 methylthiotransferase accessory factor YcaO","Limnohabitans sp. 1"
"721","msrA","1.8.4.11","COG0225","Peptide methionine sulfoxide reductase MsrA","Limnohabitans sp. 1"
"722","msrB","1.8.4.12","","Peptide methionine sulfoxide reductase MsrB","Limnohabitans sp. 1"
"723","hsdS","","COG0732","Type-1 restriction enzyme EcoKI specificity protein","Limnohabitans sp. 1"
"724","priA","3.6.4.-","COG1198","Primosomal protein N'","Limnohabitans sp. 1"
"725","rep","3.6.4.12","COG0210","ATP-dependent DNA helicase Rep","Limnohabitans sp. 1"
"726","bcr","","","Bicyclomycin resistance protein","Limnohabitans sp. 1"
"727","mutL","","","DNA mismatch repair protein MutL","Limnohabitans sp. 1"
"728","pobA","1.14.13.2","","p-hydroxybenzoate hydroxylase","Limnohabitans sp. 1"
"729","rapZ","","COG1660","RNase adapter protein RapZ","Limnohabitans sp. 1"
"730","kstR2","","","HTH-type transcriptional repressor KstR2","Limnohabitans sp. 1"
"731","dmsA","1.8.5.3","COG0243","Dimethyl sulfoxide reductase DmsA","Limnohabitans sp. 1"
"732","auaH","1.1.1.394","","Aurachin B dehydrogenase","Limnohabitans sp. 1"
"733","ligF","","","Protein LigF","Limnohabitans sp. 1"
"734","cca","","COG0617","Multifunctional CCA protein","Limnohabitans sp. 1"
"735","trxC","1.8.1.8","COG0526","Thioredoxin 2","Limnohabitans sp. 1"
"736","infA","","COG0361","Translation initiation factor IF-1","Limnohabitans sp. 1"
"737","serB","3.1.3.3","COG0560","Phosphoserine phosphatase","Limnohabitans sp. 1"
"738","zipA","","","Cell division protein ZipA","Limnohabitans sp. 1"
"739","smc","","COG1196","Chromosome partition protein Smc","Limnohabitans sp. 1"
"740","leuC","4.2.1.33","COG0065","3-isopropylmalate dehydratase large subunit","Limnohabitans sp. 1"
"741","DmdB","4.2.1.85","","2,3-dimethylmalate dehydratase small subunit","Limnohabitans sp. 1"
"742","lapB","","","Lipopolysaccharide assembly protein B","Limnohabitans sp. 1"
"743","folA","1.5.1.3","COG0262","Dihydrofolate reductase","Limnohabitans sp. 1"
"744","thyA","2.1.1.45","COG0207","Thymidylate synthase","Limnohabitans sp. 1"
"745","bioI","1.14.14.46","COG2124","Biotin biosynthesis cytochrome P450","Limnohabitans sp. 1"
"746","ypeA","2.3.1.-","COG0456","Acetyltransferase YpeA","Limnohabitans sp. 1"
"747","mgl","4.4.1.11","COG0626","L-methionine gamma-lyase","Limnohabitans sp. 1"
"748","guaB","1.1.1.205","","Inosine-5'-monophosphate dehydrogenase","Limnohabitans sp. 1"
"749","czcC","","","Cobalt-zinc-cadmium resistance protein CzcC","Limnohabitans sp. 1"
"750","aroC","4.2.3.5","COG0082","Chorismate synthase","Limnohabitans sp. 1"
"751","hcaT","","","putative 3-phenylpropionic acid transporter","Limnohabitans sp. 1"
"752","bphD","3.7.1.8","","2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase","Limnohabitans sp. 1"
"753","ntaB","1.5.1.42","","FMN reductase (NADH) NtaB","Limnohabitans sp. 1"
"754","ydhF","1.-.-.-","COG4989","Oxidoreductase YdhF","Limnohabitans sp. 1"
"755","msuD","1.14.14.5","COG2141","Methanesulfonate monooxygenase","Limnohabitans sp. 1"
"756","glnD","","COG2844","Bifunctional uridylyltransferase/uridylyl-removing enzyme","Limnohabitans sp. 1"
"757","epsD","2.4.-.-","","Putative glycosyltransferase EpsD","Limnohabitans sp. 1"
"758","tld","1.1.1.135","COG0451","GDP-6-deoxy-D-talose 4-dehydrogenase","Limnohabitans sp. 1"
"759","bpoC","1.11.1.18","COG0596","Putative non-heme bromoperoxidase BpoC","Limnohabitans sp. 1"
"760","ydbM","1.3.99.-","","Putative acyl-CoA dehydrogenase YdbM","Limnohabitans sp. 1"
"761","dsbC","","COG1651","putative thiol:disulfide interchange protein DsbC","Limnohabitans sp. 1"
"762","ubiI","1.14.13.-","COG0654","2-octaprenylphenol hydroxylase","Limnohabitans sp. 1"
"763","cwlH","3.5.1.28","COG3409","N-acetylmuramoyl-L-alanine amidase CwlH","Limnohabitans sp. 1"
"764","lpxK","2.7.1.130","COG1663","Tetraacyldisaccharide 4'-kinase","Limnohabitans sp. 1"
"765","xseA","3.1.11.6","COG1570","Exodeoxyribonuclease 7 large subunit","Limnohabitans sp. 1"
"766","hdhA","1.1.1.159","","7-alpha-hydroxysteroid dehydrogenase","Limnohabitans sp. 1"
"767","lhgO","1.1.3.15","COG0579","L-2-hydroxyglutarate oxidase LhgO","Limnohabitans sp. 1"
"768","pyrD","1.3.5.2","COG0167","Dihydroorotate dehydrogenase (quinone)","Limnohabitans sp. 1"
"769","murJ","","COG0728","Lipid II flippase MurJ","Limnohabitans sp. 1"
"770","purM","6.3.3.1","","Phosphoribosylformylglycinamidine cyclo-ligase","Limnohabitans sp. 1"
"771","hda","","COG0593","DnaA regulatory inactivator Hda","Limnohabitans sp. 1"
"772","serB1","3.1.3.3","COG0560","Phosphoserine phosphatase SerB1","Limnohabitans sp. 1"
"773","rocA","1.2.1.88","COG1012","1-pyrroline-5-carboxylate dehydrogenase","Limnohabitans sp. 1"
"774","fadA","2.3.1.-","COG0183","Putative acyltransferase","Limnohabitans sp. 1"
"775","cysA","3.6.3.25","COG1118","Sulfate/thiosulfate import ATP-binding protein CysA","Limnohabitans sp. 1"
"776","lexA","3.4.21.88","COG1974","LexA repressor","Limnohabitans sp. 1"
"777","adk","2.7.4.3","","Adenylate kinase","Limnohabitans sp. 1"
"778","arpC","","COG1538","Antibiotic efflux pump outer membrane protein ArpC","Limnohabitans sp. 1"
"779","pyrE","2.4.2.10","COG0461","Orotate phosphoribosyltransferase","Limnohabitans sp. 1"
"780","exoA","3.1.11.2","COG0708","Exodeoxyribonuclease","Limnohabitans sp. 1"
"781","hxuB","","COG2831","Heme/hemopexin transporter protein HuxB","Limnohabitans sp. 1"
"782","boxA","1.14.13.208","","Benzoyl-CoA oxygenase component A","Limnohabitans sp. 1"
"783","nqo1","1.6.5.11","COG1894","NADH-quinone oxidoreductase subunit 1","Limnohabitans sp. 1"
"784","fdhF","1.17.1.9","COG0243","Formate dehydrogenase H","Limnohabitans sp. 1"
"785","rluF","5.4.99.21","COG1187","23S rRNA pseudouridine(2604) synthase","Limnohabitans sp. 1"
"786","cycA","","COG2863","Cytochrome c4","Limnohabitans sp. 1"
"787","rimO","2.8.4.4","COG0621","Ribosomal protein S12 methylthiotransferase RimO","Limnohabitans sp. 1"
"788","ribE","2.5.1.9","","Riboflavin synthase","Limnohabitans sp. 1"
"789","rpsA","","COG0539","30S ribosomal protein S1","Limnohabitans sp. 1"
"790","ihfB","","COG0776","Integration host factor subunit beta","Limnohabitans sp. 1"
"791","lapA","","","Lipopolysaccharide assembly protein A","Limnohabitans sp. 1"
"792","leuD1","4.2.1.33","COG0066","3-isopropylmalate dehydratase small subunit 1","Limnohabitans sp. 1"
"793","paaE","1.-.-.-","COG1018","1,2-phenylacetyl-CoA epoxidase, subunit E","Limnohabitans sp. 1"
"794","paaD","","COG2151","Putative 1,2-phenylacetyl-CoA epoxidase, subunit D","Limnohabitans sp. 1"
"795","paaC","","COG3396","1,2-phenylacetyl-CoA epoxidase, subunit C","Limnohabitans sp. 1"
"796","paaB","","COG3460","1,2-phenylacetyl-CoA epoxidase, subunit B","Limnohabitans sp. 1"
"797","paaA","1.14.13.149","COG3396","1,2-phenylacetyl-CoA epoxidase, subunit A","Limnohabitans sp. 1"
"798","mshD","2.3.1.189","","Mycothiol acetyltransferase","Limnohabitans sp. 1"
"799","dadA1","1.4.99.-","COG0665","D-amino acid dehydrogenase 1","Limnohabitans sp. 1"
"800","gcvP","1.4.4.2","COG0403","Glycine dehydrogenase (decarboxylating)","Limnohabitans sp. 1"
"801","exuT","","","Hexuronate transporter","Limnohabitans sp. 1"
"802","comEC","","COG0658","ComE operon protein 3","Limnohabitans sp. 1"
"803","tsaQ1","","","HTH-type transcriptional regulator TsaQ1/TsaQ2","Limnohabitans sp. 1"
"804","parC","5.99.1.3","COG0188","DNA topoisomerase 4 subunit A","Limnohabitans sp. 1"
"805","parE","5.99.1.3","COG0187","DNA topoisomerase 4 subunit B","Limnohabitans sp. 1"
"806","bioC","2.1.1.197","","Malonyl-[acyl-carrier protein] O-methyltransferase","Limnohabitans sp. 1"
"807","dapA","4.3.3.7","COG0329","4-hydroxy-tetrahydrodipicolinate synthase","Limnohabitans sp. 1"
"808","roxA","1.14.11.47","COG2850","50S ribosomal protein L16 3-hydroxylase","Limnohabitans sp. 1"
"809","dut","3.6.1.23","","Deoxyuridine 5'-triphosphate nucleotidohydrolase","Limnohabitans sp. 1"
"810","coaBC","","COG0452","Coenzyme A biosynthesis bifunctional protein CoaBC","Limnohabitans sp. 1"
"811","ftsH4","3.4.24.-","","ATP-dependent zinc metalloprotease FtsH 4","Limnohabitans sp. 1"
"812","phoD","3.1.3.1","COG3540","Alkaline phosphatase D","Limnohabitans sp. 1"
"813","nhaX","","COG0589","Stress response protein NhaX","Limnohabitans sp. 1"
"814","wapA","3.1.-.-","","tRNA(Glu)-specific nuclease WapA","Limnohabitans sp. 1"
"815","clpX","","COG1219","ATP-dependent Clp protease ATP-binding subunit ClpX","Limnohabitans sp. 1"
"816","fadK","6.2.1.-","COG0318","Medium-chain fatty-acid--CoA ligase","Limnohabitans sp. 1"
"817","lsdB","1.13.11.43","","Lignostilbene-alpha,beta-dioxygenase isozyme III","Limnohabitans sp. 1"
"818","fabH","2.3.1.180","","3-oxoacyl-[acyl-carrier-protein] synthase 3","Limnohabitans sp. 1"
"819","aspC","2.6.1.1","COG0436","Aspartate aminotransferase","Limnohabitans sp. 1"
"820","mhpA","1.14.13.127","COG0654","3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase","Limnohabitans sp. 1"
"821","yigZ","","COG1739","IMPACT family member YigZ","Limnohabitans sp. 1"
"822","srpC","","COG2059","putative chromate transport protein","Limnohabitans sp. 1"
"823","rlmB","2.1.1.185","COG0566","23S rRNA (guanosine-2'-O-)-methyltransferase RlmB","Limnohabitans sp. 1"
"824","tesA","3.1.1.1","COG2755","Esterase TesA","Limnohabitans sp. 1"
"825","selU","2.9.1.-","COG2603","tRNA 2-selenouridine synthase","Limnohabitans sp. 1"
"826","metC","4.4.1.8","COG0626","Cystathionine beta-lyase","Limnohabitans sp. 1"
"827","gpt","2.4.2.22","","Xanthine phosphoribosyltransferase","Limnohabitans sp. 1"
"828","purA","6.3.4.4","","Adenylosuccinate synthetase","Limnohabitans sp. 1"
"829","hisZ","","COG3705","ATP phosphoribosyltransferase regulatory subunit","Limnohabitans sp. 1"
"830","rplQ","","COG0203","50S ribosomal protein L17","Limnohabitans sp. 1"
"831","pncC","3.5.1.42","COG1546","Nicotinamide-nucleotide amidohydrolase PncC","Limnohabitans sp. 1"
"832","pgpA","3.1.3.27","COG1267","Phosphatidylglycerophosphatase A","Limnohabitans sp. 1"
"833","thiL","2.7.4.16","COG0611","Thiamine-monophosphate kinase","Limnohabitans sp. 1"
"834","apaG","","COG2967","Protein ApaG","Limnohabitans sp. 1"
"835","hprK","2.7.11.-","COG1493","HPr kinase/phosphorylase","Limnohabitans sp. 1"
"836","fur","","COG0735","Ferric uptake regulation protein","Limnohabitans sp. 1"
"837","bamE","","COG2913","Outer membrane protein assembly factor BamE","Limnohabitans sp. 1"
"838","dapB","1.17.1.8","","4-hydroxy-tetrahydrodipicolinate reductase","Limnohabitans sp. 1"
"839","exbB","","COG0811","Biopolymer transport protein ExbB","Limnohabitans sp. 1"
"840","gyrB","5.99.1.3","COG0187","DNA gyrase subunit B","Limnohabitans sp. 1"
"841","yecD","3.-.-.-","COG1335","Isochorismatase family protein YecD","Limnohabitans sp. 1"
"842","ufaA1","2.1.1.-","COG2230","Tuberculostearic acid methyltransferase UfaA1","Limnohabitans sp. 1"
"843","hss","2.5.1.44","","Homospermidine synthase","Limnohabitans sp. 1"
"844","ligI","3.1.1.57","","2-pyrone-4,6-dicarbaxylate hydrolase","Limnohabitans sp. 1"
"845","ligB","1.13.11.8","","Protocatechuate 4,5-dioxygenase beta chain","Limnohabitans sp. 1"
"846","per","2.6.1.102","COG0399","GDP-perosamine synthase","Limnohabitans sp. 1"
"847","perB","2.3.1.227","COG0110","GDP-perosamine N-acetyltransferase","Limnohabitans sp. 1"
"848","epsL","2.-.-.-","COG2148","putative sugar transferase EpsL","Limnohabitans sp. 1"
"849","wbpI","5.1.3.23","COG0381","UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase","Limnohabitans sp. 1"
"850","wbjC","1.1.1.367","","UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase","Limnohabitans sp. 1"
"851","capD","5.1.3.2","COG1086","UDP-glucose 4-epimerase","Limnohabitans sp. 1"
"852","wzxE","","COG2244","Lipid III flippase","Limnohabitans sp. 1"
"853","desV","2.6.1.106","","dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase","Limnohabitans sp. 1"
"854","wbpA","1.1.1.136","COG0677","UDP-N-acetyl-D-glucosamine 6-dehydrogenase","Limnohabitans sp. 1"
"855","glyA1","2.1.2.1","COG0112","Serine hydroxymethyltransferase 1","Limnohabitans sp. 1"
"856","nrdR","","COG1327","Transcriptional repressor NrdR","Limnohabitans sp. 1"
"857","pilE","","COG4969","Fimbrial protein","Limnohabitans sp. 1"
"858","ribD","","COG0117","Riboflavin biosynthesis protein RibD","Limnohabitans sp. 1"
"859","rpiA","5.3.1.6","COG0120","Ribose-5-phosphate isomerase A","Limnohabitans sp. 1"
"860","lnt","2.3.1.-","COG0815","Apolipoprotein N-acyltransferase","Limnohabitans sp. 1"
"861","corC","","COG4535","Magnesium and cobalt efflux protein CorC","Limnohabitans sp. 1"
"862","dgoA","4.1.2.21","COG0800","2-dehydro-3-deoxy-6-phosphogalactonate aldolase","Limnohabitans sp. 1"
"863","fabG2","1.-.-.-","","putative oxidoreductase","Limnohabitans sp. 1"
"864","eda","","COG0800","KHG/KDPG aldolase","Limnohabitans sp. 1"
"865","edd","4.2.1.12","","Phosphogluconate dehydratase","Limnohabitans sp. 1"
"866","chaC","4.3.2.-","COG3703","Glutathione-specific gamma-glutamylcyclotransferase","Limnohabitans sp. 1"
"867","pdxH","1.4.3.5","COG0259","Pyridoxine/pyridoxamine 5'-phosphate oxidase","Limnohabitans sp. 1"
"868","hcaR","","","Hca operon transcriptional activator HcaR","Limnohabitans sp. 1"
"869","rutR","","COG1309","HTH-type transcriptional regulator RutR","Limnohabitans sp. 1"
"870","cnrB","","","Nickel and cobalt resistance protein CnrB","Limnohabitans sp. 1"
"871","alkB","1.14.15.3","","Alkane 1-monooxygenase","Limnohabitans sp. 1"
"872","hutI","3.5.2.7","COG1228","Imidazolonepropionase","Limnohabitans sp. 1"
"873","ves","","COG3758","Protein Ves","Limnohabitans sp. 1"
"874","hutU","4.2.1.49","COG2987","Urocanate hydratase","Limnohabitans sp. 1"
"875","hutH","4.3.1.3","","Histidine ammonia-lyase","Limnohabitans sp. 1"
"876","dusC","1.3.1.-","COG0042","tRNA-dihydrouridine(16) synthase","Limnohabitans sp. 1"
"877","rsuA","5.4.99.19","COG1187","Ribosomal small subunit pseudouridine synthase A","Limnohabitans sp. 1"
"878","menH","4.2.99.20","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","Limnohabitans sp. 1"
"879","yncE","","COG3391","putative protein YncE","Limnohabitans sp. 1"
"880","pgdA","3.5.1.-","","Peptidoglycan deacetylase","Limnohabitans sp. 1"
"881","amaB","3.5.1.87","","N-carbamoyl-L-amino acid hydrolase","Limnohabitans sp. 1"
"882","argE","3.5.1.16","COG0624","Acetylornithine deacetylase","Limnohabitans sp. 1"
"883","ghrB","1.1.1.79","COG1052","Glyoxylate/hydroxypyruvate reductase B","Limnohabitans sp. 1"
"884","mreB","","COG1077","Rod shape-determining protein MreB","Limnohabitans sp. 1"
"885","mreC","","COG1792","Cell shape-determining protein MreC","Limnohabitans sp. 1"
"886","mrdA","3.4.16.4","COG0768","Peptidoglycan D,D-transpeptidase MrdA","Limnohabitans sp. 1"
"887","dksA","","COG1734","RNA polymerase-binding transcription factor DksA","Limnohabitans sp. 1"
"888","sbp","","COG1613","Sulfate-binding protein","Limnohabitans sp. 1"
"889","pilE1","","COG4969","Fimbrial protein","Limnohabitans sp. 1"
"890","sucD","6.2.1.5","COG0074","Succinate--CoA ligase [ADP-forming] subunit alpha","Limnohabitans sp. 1"
"891","sucC","6.2.1.5","COG0045","Succinate--CoA ligase [ADP-forming] subunit beta","Limnohabitans sp. 1"
"892","argC","1.2.1.38","COG0002","N-acetyl-gamma-glutamyl-phosphate reductase","Limnohabitans sp. 1"
"893","yaeQ","","COG4681","putative protein YaeQ","Limnohabitans sp. 1"
"894","Dml","4.1.3.32","","2,3-dimethylmalate lyase","Limnohabitans sp. 1"
"895","bacC","1.1.1.385","","Dihydroanticapsin 7-dehydrogenase","Limnohabitans sp. 1"
"896","blc","","COG3040","Outer membrane lipoprotein Blc","Limnohabitans sp. 1"
"897","pcp","3.4.19.3","COG2039","Pyrrolidone-carboxylate peptidase","Limnohabitans sp. 1"
"898","hisM","","COG4160","Histidine transport system permease protein HisM","Limnohabitans sp. 1"
"899","hisP","","COG4598","Histidine transport ATP-binding protein HisP","Limnohabitans sp. 1"
"900","Hgd","1.1.1.291","","2-(hydroxymethyl)glutarate dehydrogenase","Limnohabitans sp. 1"
"901","smpB","","COG0691","SsrA-binding protein","Limnohabitans sp. 1"
"902","pasT","","COG2867","Persistence and stress-resistance toxin PasT","Limnohabitans sp. 1"
"903","rnfH","","","Protein RnfH","Limnohabitans sp. 1"
"904","rlmI","2.1.1.191","COG1092","Ribosomal RNA large subunit methyltransferase I","Limnohabitans sp. 1"
"905","yceI","","COG2353","Protein YceI","Limnohabitans sp. 1"
"906","yceJ","","COG3038","Cytochrome b561 ","Limnohabitans sp. 1"
"907","ygiD","1.13.11.29","COG3384","4,5-DOPA dioxygenase extradiol","Limnohabitans sp. 1"
"908","rhtC","","COG1280","Threonine efflux protein","Limnohabitans sp. 1"
"909","nudC","3.6.1.22","COG2816","NADH pyrophosphatase","Limnohabitans sp. 1"
"910","nagK","3.7.1.20","","Fumarylpyruvate hydrolase","Limnohabitans sp. 1"
"911","hosA","","","Transcriptional regulator HosA","Limnohabitans sp. 1"
"912","ppk","2.7.4.1","COG0855","Polyphosphate kinase","Limnohabitans sp. 1"
"913","sixA","3.1.3.-","COG2062","Phosphohistidine phosphatase SixA","Limnohabitans sp. 1"
"914","ppx","3.6.1.11","COG0248","Exopolyphosphatase","Limnohabitans sp. 1"
"915","gap3","1.2.1.12","COG0057","Glyceraldehyde-3-phosphate dehydrogenase 3","Limnohabitans sp. 1"
"916","stoA","","COG0526","Sporulation thiol-disulfide oxidoreductase A","Limnohabitans sp. 1"
"917","pstS","","COG0226","Phosphate-binding protein PstS","Limnohabitans sp. 1"
"918","pstC","","COG0573","Phosphate transport system permease protein PstC","Limnohabitans sp. 1"
"919","pstA","","COG0581","Phosphate transport system permease protein PstA","Limnohabitans sp. 1"
"920","pstB","3.6.3.27","COG1117","Phosphate import ATP-binding protein PstB","Limnohabitans sp. 1"
"921","phoU","","COG0704","Phosphate-specific transport system accessory protein PhoU ","Limnohabitans sp. 1"
"922","phoB","","COG0745","Phosphate regulon transcriptional regulatory protein PhoB","Limnohabitans sp. 1"
"923","phoR","2.7.13.3","","Phosphate regulon sensor protein PhoR","Limnohabitans sp. 1"
"924","mdtK","","COG0534","Multidrug resistance protein MdtK","Limnohabitans sp. 1"
"925","rpmE2","","COG0254","50S ribosomal protein L31 type B","Limnohabitans sp. 1"
"926","rho","3.6.4.-","COG1158","Transcription termination factor Rho","Limnohabitans sp. 1"
"927","nagZ","3.2.1.52","COG1472","Beta-hexosaminidase","Limnohabitans sp. 1"
"928","acpS","2.7.8.7","COG0736","Holo-[acyl-carrier-protein] synthase","Limnohabitans sp. 1"
"929","pdxJ","2.6.99.2","","Pyridoxine 5'-phosphate synthase","Limnohabitans sp. 1"
"930","recO","","COG1381","DNA repair protein RecO","Limnohabitans sp. 1"
"931","era","","COG1159","GTPase Era","Limnohabitans sp. 1"
"932","rnc","3.1.26.3","COG0571","Ribonuclease 3","Limnohabitans sp. 1"
"933","lepB","3.4.21.89","COG0681","Signal peptidase I","Limnohabitans sp. 1"
"934","rbgA","","COG1161","Ribosome biogenesis GTPase A","Limnohabitans sp. 1"
"935","cysW","","COG4208","Sulfate transport system permease protein CysW","Limnohabitans sp. 1"
"936","thiB","","COG4143","Thiamine-binding periplasmic protein","Limnohabitans sp. 1"
"937","tcrY","2.7.13.3","","putative sensor histidine kinase TcrY","Limnohabitans sp. 1"
"938","copR","","","Transcriptional activator protein CopR","Limnohabitans sp. 1"
"939","map","3.4.11.18","COG0024","Methionine aminopeptidase","Limnohabitans sp. 1"
"940","lutR","","COG2186","HTH-type transcriptional regulator LutR","Limnohabitans sp. 1"
"941","ectD","1.14.11.55","","Ectoine dioxygenase","Limnohabitans sp. 1"
"942","purL","6.3.5.3","COG0046","Phosphoribosylformylglycinamidine synthase","Limnohabitans sp. 1"
"943","rapA","3.6.4.-","","RNA polymerase-associated protein RapA","Limnohabitans sp. 1"
"944","yedI","","COG2354","Inner membrane protein YedI","Limnohabitans sp. 1"
"945","ydcP","3.4.-.-","COG0826","putative protease YdcP","Limnohabitans sp. 1"
"946","pytH","3.1.1.88","","Pyrethroid hydrolase","Limnohabitans sp. 1"
"947","resA","","COG0526","Thiol-disulfide oxidoreductase ResA","Limnohabitans sp. 1"
"948","sdgC","1.14.13.209","","Salicyloyl-CoA 5-hydroxylase","Limnohabitans sp. 1"
"949","actIII","1.3.1.-","","Putative ketoacyl reductase","Limnohabitans sp. 1"
"950","carC","1.3.1.108","COG1960","Caffeyl-CoA reductase-Etf complex subunit CarC","Limnohabitans sp. 1"
"951","ctaB","2.5.1.-","COG0109","Protoheme IX farnesyltransferase","Limnohabitans sp. 1"
"952","ctaA","1.3.-.-","COG1612","Heme A synthase","Limnohabitans sp. 1"
"953","ctaE","1.9.3.1","COG1845","Cytochrome c oxidase subunit 3","Limnohabitans sp. 1"
"954","ctaG","","COG3175","Cytochrome c oxidase assembly protein CtaG","Limnohabitans sp. 1"
"955","ctaD","1.9.3.1","COG0843","Cytochrome c oxidase subunit 1","Limnohabitans sp. 1"
"956","ctaC","1.9.3.1","COG1622","Cytochrome c oxidase subunit 2","Limnohabitans sp. 1"
"957","trmL","2.1.1.207","COG0219","tRNA (cytidine(34)-2'-O)-methyltransferase","Limnohabitans sp. 1"
"958","nusA","","COG0195","Transcription termination/antitermination protein NusA","Limnohabitans sp. 1"
"959","rimP","","COG0779","Ribosome maturation factor RimP","Limnohabitans sp. 1"
"960","yejF","","COG4172","putative ABC transporter ATP-binding protein YejF","Limnohabitans sp. 1"
"961","yejE","","COG4239","Inner membrane ABC transporter permease protein YejE","Limnohabitans sp. 1"
"962","yejB","","COG4174","Inner membrane ABC transporter permease protein YejB","Limnohabitans sp. 1"
"963","dppE","","COG4166","Dipeptide-binding protein DppE","Limnohabitans sp. 1"
"964","fabI","1.3.1.9","COG0623","Enoyl-[acyl-carrier-protein] reductase [NADH] FabI","Limnohabitans sp. 1"
"965","adiA","4.1.1.19","COG1982","Biodegradative arginine decarboxylase","Limnohabitans sp. 1"
"966","gloC","3.1.2.6","COG0491","Hydroxyacylglutathione hydrolase GloC","Limnohabitans sp. 1"
"967","bepA","3.4.-.-","COG4783","Beta-barrel assembly-enhancing protease","Limnohabitans sp. 1"
"968","ampG","","COG0477","Protein AmpG","Limnohabitans sp. 1"
"969","ompR","","","Transcriptional regulatory protein OmpR","Limnohabitans sp. 1"
"970","mneA","","","Putative manganese exporter","Limnohabitans sp. 1"
"971","focA","","COG2116","putative formate transporter 1","Limnohabitans sp. 1"
"972","metXS","2.3.1.46","COG2021","Homoserine O-succinyltransferase","Limnohabitans sp. 1"
"973","metXA","","COG0500","Bifunctional methionine biosynthesis protein MetXA/MetW","Limnohabitans sp. 1"
"974","ydhC","","","Inner membrane transport protein YdhC","Limnohabitans sp. 1"
"975","pdp","2.4.2.2","COG0213","Pyrimidine-nucleoside phosphorylase","Limnohabitans sp. 1"
"976","prs2","2.7.6.1","","Putative ribose-phosphate pyrophosphokinase 2","Limnohabitans sp. 1"
"977","mhqA","1.13.11.-","COG0346","Putative ring-cleaving dioxygenase MhqA","Limnohabitans sp. 1"
"978","dsbD","1.8.1.8","","Thiol:disulfide interchange protein DsbD","Limnohabitans sp. 1"
"979","sigF","","COG1595","ECF RNA polymerase sigma factor SigF","Limnohabitans sp. 1"
"980","nrsF","","","Anti-sigma-F factor NrsF","Limnohabitans sp. 1"
"981","benM","","","HTH-type transcriptional regulator BenM","Limnohabitans sp. 1"
"982","dapb3","3.4.14.-","","Dipeptidyl aminopeptidase BIII","Limnohabitans sp. 1"
"983","uup","","COG0488","ABC transporter ATP-binding protein uup","Limnohabitans sp. 1"
"984","lysN","2.6.1.39","COG1167","2-aminoadipate transaminase","Limnohabitans sp. 1"
"985","eamB","","COG1280","Cysteine/O-acetylserine efflux protein","Limnohabitans sp. 1"
"986","phzF","5.3.3.17","","Trans-2,3-dihydro-3-hydroxyanthranilate isomerase","Limnohabitans sp. 1"
